HG00096	0.002139 0.000010 0.000010 0.000010 0.997831
HG00097	0.003831 0.000010 0.008364 0.000010 0.987785
HG00099	0.004992 0.000010 0.001233 0.000010 0.993755
HG00100	0.000010 0.000010 0.000010 0.000010 0.999960
HG00101	0.007205 0.000010 0.000349 0.000010 0.992426
HG00102	0.003253 0.000010 0.002139 0.000010 0.994587
HG00103	0.005277 0.000010 0.000010 0.000010 0.994693
HG00105	0.005886 0.000010 0.000010 0.000010 0.994084
HG00106	0.000010 0.000010 0.018287 0.000010 0.981683
HG00107	0.005165 0.000010 0.000010 0.000010 0.994805
HG00108	0.000010 0.000010 0.000010 0.000010 0.999960
HG00109	0.000010 0.000010 0.000010 0.000010 0.999960
HG00110	0.001798 0.001102 0.000010 0.000010 0.997080
HG00111	0.007103 0.000010 0.000599 0.000010 0.992278
HG00112	0.001763 0.000351 0.001792 0.000010 0.996084
HG00113	0.003406 0.000010 0.000010 0.000010 0.996564
HG00114	0.003410 0.000010 0.002242 0.000010 0.994327
HG00115	0.000010 0.000010 0.009043 0.000010 0.990927
HG00116	0.000010 0.000010 0.000010 0.000010 0.999960
HG00117	0.003868 0.000014 0.000010 0.000010 0.996098
HG00118	0.003403 0.000010 0.010278 0.000010 0.986298
HG00119	0.001859 0.000010 0.000010 0.000010 0.998111
HG00120	0.000010 0.000010 0.000010 0.000010 0.999960
HG00121	0.003163 0.000010 0.000010 0.000010 0.996807
HG00122	0.003605 0.000010 0.004171 0.000010 0.992204
HG00123	0.000010 0.000010 0.000010 0.000010 0.999960
HG00125	0.005001 0.000010 0.000010 0.000010 0.994969
HG00126	0.000010 0.000010 0.007517 0.000010 0.992453
HG00127	0.004461 0.000010 0.000010 0.000010 0.995509
HG00128	0.000013 0.000010 0.002219 0.000010 0.997747
HG00129	0.003197 0.000010 0.001311 0.000010 0.995472
HG00130	0.000010 0.000010 0.009323 0.000010 0.990647
HG00131	0.000010 0.004527 0.000010 0.000010 0.995443
HG00132	0.000010 0.000010 0.007370 0.000010 0.992600
HG00133	0.002970 0.000010 0.000986 0.000010 0.996024
HG00136	0.001791 0.003882 0.000010 0.000010 0.994307
HG00137	0.000010 0.002764 0.000010 0.000010 0.997206
HG00138	0.000010 0.000010 0.000010 0.000010 0.999960
HG00139	0.000015 0.000010 0.000010 0.000010 0.999955
HG00140	0.000012 0.001760 0.000010 0.000010 0.998208
HG00141	0.005226 0.000010 0.004126 0.000010 0.990629
HG00142	0.000010 0.000641 0.001113 0.000010 0.998226
HG00143	0.000010 0.000010 0.002200 0.000010 0.997770
HG00145	0.000010 0.001764 0.000010 0.000010 0.998206
HG00146	0.000657 0.000010 0.000010 0.000010 0.999313
HG00148	0.000010 0.000010 0.005440 0.000010 0.994530
HG00149	0.000010 0.000010 0.000010 0.000010 0.999960
HG00150	0.003355 0.000010 0.004938 0.000010 0.991686
HG00151	0.000010 0.000010 0.011289 0.000010 0.988681
HG00154	0.000010 0.000010 0.000010 0.000010 0.999960
HG00155	0.005969 0.000010 0.000010 0.000010 0.994001
HG00157	0.000010 0.000010 0.000010 0.000010 0.999960
HG00158	0.005273 0.000010 0.000010 0.000010 0.994697
HG00159	0.000010 0.000010 0.000010 0.000010 0.999960
HG00160	0.002254 0.000010 0.000010 0.000010 0.997716
HG00171	0.026357 0.059640 0.000010 0.000010 0.913983
HG00173	0.029691 0.044126 0.000010 0.000010 0.926163
HG00174	0.019651 0.033733 0.000010 0.000010 0.946596
HG00176	0.021501 0.060926 0.000010 0.000010 0.917554
HG00177	0.028704 0.067439 0.000010 0.000010 0.903837
HG00178	0.016017 0.055697 0.000010 0.000010 0.928266
HG00179	0.027106 0.058677 0.000010 0.000010 0.914197
HG00180	0.018716 0.064118 0.000010 0.000010 0.917147
HG00181	0.013698 0.044138 0.012991 0.003041 0.926131
HG00182	0.032183 0.056055 0.000010 0.000010 0.911743
HG00183	0.024248 0.050083 0.000010 0.000010 0.925649
HG00185	0.019726 0.063117 0.000507 0.000010 0.916641
HG00186	0.030152 0.050417 0.000010 0.000010 0.919411
HG00187	0.030685 0.063842 0.000010 0.000010 0.905453
HG00188	0.021624 0.047626 0.000010 0.000010 0.930730
HG00189	0.018463 0.057079 0.000010 0.000010 0.924438
HG00190	0.018333 0.042545 0.004598 0.000010 0.934514
HG00231	0.002999 0.000010 0.005711 0.000010 0.991271
HG00232	0.000010 0.000010 0.000010 0.000010 0.999960
HG00233	0.004134 0.000010 0.008460 0.000010 0.987386
HG00234	0.000010 0.000010 0.006712 0.000010 0.993258
HG00235	0.000010 0.000010 0.005712 0.000010 0.994258
HG00236	0.000010 0.000010 0.000010 0.000010 0.999960
HG00237	0.000010 0.000010 0.000010 0.000010 0.999960
HG00238	0.000017 0.000010 0.007534 0.000010 0.992429
HG00239	0.000013 0.000010 0.000010 0.000010 0.999957
HG00240	0.004007 0.000010 0.000091 0.000010 0.995882
HG00242	0.006286 0.000010 0.000010 0.000010 0.993684
HG00243	0.003771 0.000010 0.000010 0.000010 0.996199
HG00244	0.001499 0.000010 0.004162 0.000010 0.994319
HG00245	0.000010 0.000011 0.000010 0.000010 0.999959
HG00246	0.000652 0.001316 0.003616 0.000010 0.994406
HG00250	0.001636 0.000588 0.000010 0.000010 0.997756
HG00251	0.001974 0.000010 0.004117 0.000010 0.993889
HG00252	0.000010 0.000010 0.000010 0.000010 0.999960
HG00253	0.000010 0.000010 0.000010 0.000010 0.999960
HG00254	0.000010 0.000269 0.000010 0.000010 0.999701
HG00255	0.004038 0.000010 0.003948 0.000010 0.991994
HG00256	0.000010 0.000010 0.000010 0.000010 0.999960
HG00257	0.000010 0.000310 0.000010 0.000010 0.999660
HG00258	0.000018 0.000017 0.000010 0.000010 0.999944
HG00259	0.000010 0.000010 0.000010 0.000010 0.999960
HG00260	0.000401 0.000808 0.000010 0.000010 0.998771
HG00261	0.000010 0.000694 0.000010 0.000010 0.999276
HG00262	0.000011 0.000010 0.000010 0.000010 0.999959
HG00263	0.000012 0.000010 0.000010 0.000010 0.999958
HG00264	0.003948 0.000010 0.000010 0.000010 0.996022
HG00265	0.000010 0.000010 0.000010 0.000010 0.999960
HG00266	0.020550 0.053134 0.000010 0.000010 0.926296
HG00267	0.018438 0.059430 0.000010 0.000010 0.922112
HG00268	0.010687 0.049026 0.000010 0.000010 0.940267
HG00269	0.023950 0.052102 0.000010 0.000010 0.923927
HG00271	0.021315 0.072664 0.000010 0.000010 0.906001
HG00272	0.022200 0.076982 0.000010 0.000010 0.900798
HG00273	0.017198 0.050725 0.000010 0.000010 0.932057
HG00274	0.019571 0.049036 0.000010 0.000010 0.931374
HG00275	0.012705 0.050484 0.000010 0.000010 0.936792
HG00276	0.023723 0.054889 0.000010 0.000010 0.921368
HG00277	0.016130 0.034912 0.000010 0.000010 0.948938
HG00278	0.026572 0.052313 0.000010 0.000010 0.921095
HG00280	0.016189 0.058679 0.000010 0.000010 0.925112
HG00281	0.023861 0.050554 0.000010 0.000010 0.925565
HG00282	0.014558 0.064030 0.000010 0.000010 0.921392
HG00284	0.020630 0.053078 0.000010 0.000010 0.926272
HG00285	0.018519 0.065150 0.000010 0.000010 0.916310
HG00288	0.027228 0.028215 0.059936 0.000010 0.884610
HG00290	0.027746 0.038561 0.060138 0.000010 0.873545
HG00304	0.031781 0.027905 0.052932 0.000010 0.887372
HG00306	0.019177 0.033790 0.000010 0.000010 0.947013
HG00308	0.022669 0.061588 0.000010 0.000010 0.915723
HG00309	0.022839 0.054433 0.000010 0.000010 0.922709
HG00310	0.014498 0.045286 0.000010 0.000010 0.940196
HG00311	0.011043 0.032086 0.000010 0.000010 0.956851
HG00313	0.021464 0.062946 0.000010 0.000010 0.915570
HG00315	0.027347 0.053828 0.000010 0.000010 0.918805
HG00318	0.019790 0.039161 0.000010 0.000010 0.941029
HG00319	0.017220 0.055733 0.000010 0.000010 0.927027
HG00320	0.020416 0.050534 0.000010 0.000010 0.929030
HG00321	0.020822 0.062647 0.000010 0.000010 0.916510
HG00323	0.014558 0.071752 0.000010 0.000010 0.913670
HG00324	0.029433 0.053550 0.000010 0.000010 0.916997
HG00325	0.024566 0.069959 0.000010 0.000010 0.905454
HG00326	0.013733 0.055517 0.000010 0.000010 0.930729
HG00327	0.017975 0.055837 0.000010 0.000010 0.926168
HG00328	0.021699 0.050831 0.000010 0.000010 0.927450
HG00329	0.014585 0.047691 0.000010 0.000010 0.937704
HG00330	0.018351 0.052496 0.000010 0.000010 0.929134
HG00331	0.015585 0.059508 0.000010 0.000010 0.924887
HG00332	0.019610 0.052167 0.000010 0.000010 0.928203
HG00334	0.015871 0.038172 0.000010 0.000010 0.945936
HG00335	0.017784 0.051199 0.000010 0.000010 0.930998
HG00336	0.015041 0.065072 0.000010 0.000010 0.919867
HG00337	0.016440 0.043546 0.000010 0.000010 0.939994
HG00338	0.012245 0.057127 0.000010 0.000010 0.930608
HG00339	0.012647 0.062321 0.000012 0.000010 0.925010
HG00341	0.014569 0.047400 0.006477 0.005903 0.925650
HG00342	0.015319 0.061688 0.000010 0.000010 0.922973
HG00343	0.018581 0.054408 0.000010 0.000010 0.926991
HG00344	0.008850 0.024407 0.000010 0.000010 0.966723
HG00345	0.018403 0.059985 0.000010 0.000010 0.921592
HG00346	0.015313 0.051834 0.000010 0.000010 0.932832
HG00349	0.021252 0.053668 0.000010 0.000010 0.925061
HG00350	0.018047 0.020267 0.000010 0.000010 0.961666
HG00351	0.022159 0.048000 0.000010 0.000010 0.929821
HG00353	0.015986 0.063414 0.000010 0.000010 0.920580
HG00355	0.025525 0.035327 0.000010 0.000010 0.939128
HG00356	0.027479 0.044219 0.000010 0.000010 0.928282
HG00357	0.015295 0.044194 0.000010 0.000010 0.940491
HG00358	0.040017 0.056652 0.000010 0.000010 0.903310
HG00360	0.020253 0.033037 0.008106 0.000010 0.938595
HG00361	0.024105 0.068023 0.000010 0.000010 0.907852
HG00362	0.024939 0.040211 0.007191 0.000010 0.927648
HG00364	0.028215 0.037383 0.000010 0.000010 0.934381
HG00365	0.030724 0.051831 0.000010 0.000010 0.917425
HG00366	0.028556 0.050999 0.000010 0.000010 0.920425
HG00367	0.022143 0.055198 0.000010 0.000010 0.922638
HG00368	0.022975 0.070425 0.000010 0.000010 0.906580
HG00369	0.023631 0.058093 0.000010 0.000010 0.918256
HG00371	0.021200 0.047930 0.000010 0.000010 0.930850
HG00372	0.022213 0.043736 0.000010 0.000010 0.934031
HG00373	0.028882 0.064136 0.000010 0.000010 0.906963
HG00375	0.018150 0.058198 0.000010 0.000010 0.923632
