IID,T1,T2,AGE,SEX,PC1,PC2,PC3,PC4,PC5,pop,super_pop
HG00096,1,1,40,1,-0.0112424,0.0270918,0.0121881,0.0175438,0.000413185,GBR,EUR
HG00097,2,2,72,2,-0.0111268,0.0268912,0.0106713,0.0167988,-0.00129786,GBR,EUR
HG00099,1,1,55,2,-0.0113693,0.0270057,0.0114053,0.0157023,-0.000414743,GBR,EUR
HG00100,2,1,50,2,-0.0110236,0.0270452,0.0122186,0.0189124,0.00049451,GBR,EUR
HG00101,1,2,61,1,-0.0112605,0.0267486,0.0119379,0.017077,-0.00155577,GBR,EUR
HG00102,2,2,50,2,-0.011537,0.0268861,0.0110631,0.0171335,-0.000709119,GBR,EUR
HG00103,1,1,48,1,-0.0112531,0.0266347,0.0114969,0.0173847,0.000908524,GBR,EUR
HG00105,2,2,53,1,-0.0111476,0.0265483,0.011135,0.0173203,-0.00189683,GBR,EUR
HG00106,2,2,47,2,-0.0114521,0.0270259,0.0104829,0.0162397,-0.00511976,GBR,EUR
HG00107,2,2,57,1,-0.01142,0.0264817,0.0115976,0.0164152,-0.000213257,GBR,EUR
HG00108,2,1,45,1,-0.0113494,0.0265209,0.0125447,0.0192623,0.00031168,GBR,EUR
HG00109,2,1,60,1,-0.0114782,0.0266229,0.0123607,0.0201512,-0.00196408,GBR,EUR
HG00110,1,2,46,2,-0.0116812,0.0263783,0.0122885,0.0187415,-0.00212448,GBR,EUR
HG00111,1,1,48,2,-0.0116115,0.026211,0.0120892,0.0179958,0.00318014,GBR,EUR
HG00112,1,1,65,1,-0.0115132,0.0263947,0.0109678,0.0176138,-0.00195936,GBR,EUR
HG00113,1,2,63,1,-0.0113611,0.0264629,0.0129639,0.0196641,-0.000453942,GBR,EUR
HG00114,1,2,51,1,-0.0113595,0.0265215,0.0114092,0.0177459,0.000379485,GBR,EUR
HG00115,1,2,46,1,-0.0110009,0.0270139,0.0109731,0.0185107,-0.0055528,GBR,EUR
HG00116,1,2,59,1,-0.0115483,0.0266451,0.0127794,0.0198175,0.00676133,GBR,EUR
HG00117,1,2,48,1,-0.0116193,0.0264345,0.0133043,0.0182087,0.00669939,GBR,EUR
HG00118,2,1,42,2,-0.0111477,0.0267775,0.0108664,0.0161383,-0.00457851,GBR,EUR
HG00119,1,2,59,1,-0.0113522,0.0267208,0.013562,0.019414,0.00856824,GBR,EUR
HG00120,2,2,49,2,-0.0113618,0.0271406,0.0125302,0.0191941,0.00755609,GBR,EUR
HG00121,2,1,53,2,-0.0116789,0.0265548,0.0122221,0.0190367,0.0018712,GBR,EUR
HG00122,2,1,50,2,-0.0115286,0.0269758,0.0111199,0.0171186,-0.00309468,GBR,EUR
