FID	IID	SEX
HG00096	HG00096	1
HG00097	HG00097	2
HG00099	HG00099	2
HG00100	HG00100	2
HG00101	HG00101	1
HG00102	HG00102	2
HG00103	HG00103	1
HG00105	HG00105	1
HG00106	HG00106	2
HG00107	HG00107	1
HG00108	HG00108	1
HG00109	HG00109	1
HG00110	HG00110	2
HG00111	HG00111	2
HG00112	HG00112	1
HG00113	HG00113	1
HG00114	HG00114	1
HG00115	HG00115	1
HG00116	HG00116	1
HG00117	HG00117	1
HG00118	HG00118	2
HG00119	HG00119	1
HG00120	HG00120	2
HG00121	HG00121	2
HG00122	HG00122	2
HG00123	HG00123	2
HG00125	HG00125	2
HG00126	HG00126	1
HG00127	HG00127	2
HG00128	HG00128	2
HG00129	HG00129	1
HG00130	HG00130	2
HG00131	HG00131	1
HG00132	HG00132	2
HG00133	HG00133	2
HG00136	HG00136	1
HG00137	HG00137	2
HG00138	HG00138	1
HG00139	HG00139	1
HG00140	HG00140	1
HG00141	HG00141	1
HG00142	HG00142	1
HG00143	HG00143	1
HG00145	HG00145	1
HG00146	HG00146	2
HG00148	HG00148	1
HG00149	HG00149	1
HG00150	HG00150	2
HG00151	HG00151	1
HG00154	HG00154	2
HG00155	HG00155	1
HG00157	HG00157	1
HG00158	HG00158	2
HG00159	HG00159	1
HG00160	HG00160	1
HG00171	HG00171	2
HG00173	HG00173	2
HG00174	HG00174	2
HG00176	HG00176	2
HG00177	HG00177	2
HG00178	HG00178	2
HG00179	HG00179	2
HG00180	HG00180	2
HG00181	HG00181	1
HG00182	HG00182	1
HG00183	HG00183	1
HG00185	HG00185	1
HG00186	HG00186	1
HG00187	HG00187	1
HG00188	HG00188	1
HG00189	HG00189	1
HG00190	HG00190	1
HG00231	HG00231	2
HG00232	HG00232	2
HG00233	HG00233	2
HG00234	HG00234	1
HG00235	HG00235	2
HG00236	HG00236	2
HG00237	HG00237	2
HG00238	HG00238	2
HG00239	HG00239	2
HG00240	HG00240	2
HG00242	HG00242	1
HG00243	HG00243	1
HG00244	HG00244	1
HG00245	HG00245	2
HG00246	HG00246	1
HG00250	HG00250	2
HG00251	HG00251	1
